wavelength,flux
5139.460261388102,7971.689524753601
5139.4722931080605,7356.035344804928
5139.481254664994,6916.994814218429
5139.493286384951,6353.27311409713
5139.502247941885,5952.244665661448
5139.514279661843,5438.659965570987
5139.523241218776,5074.306276504678
5139.532285753089,4722.038961321698
5139.5442344956655,4280.046844284618
5139.553279029977,3962.865337916155
5139.565227772553,3566.3335664220795
5139.574272306862,3282.8881634160934
5139.58622104944,2930.033640404974
5139.59526558375,2678.9746352351576
5139.607297303704,2365.9360709131943
5139.616258860635,2147.991950941294
5139.625220417567,1942.7667353759607
5139.637252137519,1686.8073079432324
5139.646213694449,1510.4232058109155
5139.658245414402,1292.287903706223
5139.667206971331,1143.407592148027
5139.679238691284,961.3009356962411
5139.6882002482125,838.5870919057434
5139.697244782519,725.6487806989308
5139.709193525093,592.8289025341628
5139.718238059399,504.37080951198504
5139.73018680197,403.0002215155946
5139.739231336277,337.6726412232031
5139.751180078847,265.9682462960644
5139.760224613156,222.42147329432208
5139.772173355724,178.60017434345852
5139.781217890029,155.48450322310083
5139.790179446957,140.85292604782984
5139.802211166904,133.7289284458461
5139.81117272383,137.4301731076152
5139.823204443777,154.02194644680583
5139.832166000702,174.76227067544
5139.8441977206485,213.6609151461193
5139.8531592775735,249.24620712335215
5139.862203811878,289.245794798842
5139.874152554446,343.52699536124476
5139.883197088747,382.3477693015043
5139.895145831313,425.0374720094022
5139.904190365616,448.6300185134503
5139.916139108182,467.0515122598066
5139.925183642483,472.61748459874053
5139.9371323850455,473.3612360517157
5139.9461769193485,472.9309520773752
5139.955138476272,475.0932265986524
5139.967170196214,486.010515146379
5139.976131753137,501.1017763725931
5139.988163473076,529.5753149732406
5139.99712503,554.2601450926828
5140.009156749939,588.1053791848188
5140.018118306861,611.1585773706422
5140.027162841161,631.5085872633324
5140.039111583721,653.2454319654413
5140.048156118021,666.3510865581329
5140.0601048605795,680.1344676028044
5140.06914939488,688.6748288747053
5140.081098137439,698.0005319557025
5140.090142671737,703.9057145192454
5140.102091414296,710.3174831151871
5140.111135948594,714.2809505966446
5140.120097505512,717.5185935658965
5140.132129225448,720.9665249138274
5140.1410907823665,722.9756155384462
5140.153122502302,725.1002377025591
5140.16208405922,726.3469575073788
5140.174115779156,727.6925182354761
5140.183077336073,728.4842277793391
5140.195109056007,729.2691366631274
5140.204070612925,729.619146628
5140.2131151472195,729.759546362746
5140.225063889773,729.6777716470903
5140.234108424068,729.5365635716454
5140.246057166623,729.5559571391448
5140.255101700916,729.9898036712044
5140.267050443469,731.427409009637
5140.276094977763,733.3285175228801
5140.285056534677,735.8654814265979
5140.297088254609,740.145485236238
5140.306049811523,743.7071103198841
5140.318081531454,748.5980345117132
5140.327043088367,752.012798876555
5140.339074808296,756.0222121565879
5140.34803636521,758.4271403509783
5140.36006808514,760.8013272650425
5140.369029642052,761.8769059874307
5140.378074176342,762.3189271633404
5140.390022918889,761.789850619031
5140.3990674531815,760.4171849468709
5140.41101619573,757.280747475044
5140.420060730021,753.9366760397204
5140.432009472569,748.7428314026841
5140.4410540068575,744.6918221188406
5140.450015563768,741.184717097132
5140.462047283694,738.1414915395959
5140.471008840603,737.620821572582
5140.483040560529,739.556781435386
5140.492002117438,742.7538545833856
5140.504033837362,748.7371341793036
5140.5129953942715,753.7693391402104
5140.525027114195,760.4765429913873
5140.533988671104,764.9452560967483
5140.54303320539,768.8271567768629
5140.554981947934,772.8829044299458
5140.564026482221,775.2350371497877
5140.575975224762,777.5577501763565
5140.585019759051,778.8781041701234
5140.596968501592,780.2073410701286
5140.606013035877,781.0015309864147
5140.614974592783,781.6477992671641
5140.627006312703,782.3015717371378
5140.635967869609,782.5765349955828
5140.647999589529,782.5181874071679
5140.656961146435,782.0659646983368
5140.668992866353,780.8600691947956
5140.6779544232595,779.617761524953
5140.689986143177,777.8188375963422
5140.698947700082,776.7203935656106
5140.707992234362,776.1123629124146
5140.719940976901,776.4010385518935
5140.728985511184,777.552736508446
5140.74093425372,780.1227072320904
5140.749978788003,782.6499603617393
5140.76192753054,786.2609618208966
5140.770972064822,788.9489684847837
5140.782920807357,792.1056691050453
5140.791965341638,794.1128679434125
5140.80092689854,795.7321580413504
5140.812958618455,797.3791459055425
5140.821920175355,798.2548815451404
5140.833951895269,799.046917896747
5140.842913452169,799.3978610741208
5140.854945172081,799.6137610645843
5140.863906728982,799.6350161909637
5140.872951263261,799.6027370199683
5140.884900005794,799.6305243185861
5140.893944540072,799.8543063836806
5140.905893282604,800.6058332167918
5140.914937816881,801.6138468482035
5140.926886559413,803.4680184555755
5140.93593109369,805.1683660597943
5140.947879836222,807.5034216489161
5140.956924370498,809.1691558664872
5140.965885927395,810.5931537009558
5140.977917647304,812.0830837814026
5140.9868792042025,812.8759388906843
5140.9989109241105,813.6121888939566
5141.0078724810055,814.0000971121585
5141.0199042009135,814.4402774530137
5141.0288657578085,814.7778600361622
5141.037910292083,815.1693000019023
5141.0498590346115,815.7778615344358
5141.0589035688845,816.3004213945725
5141.070852311412,817.015686245515
5141.0798968456875,817.5374607382996
5141.091845588213,818.1151106576202
5141.100890122485,818.4094509310554
5141.112838865011,818.5225438059168
5141.121883399284,818.3629073297342
5141.130844956178,818.0242089443124
5141.142876676079,817.4288111604568
5141.151838232971,817.0712396143231
5141.163869952875,817.0222571958299
5141.172831509768,817.466975005039
5141.1848632296715,818.7710438187171
5141.193824786562,820.1435791606738
5141.202869320831,821.6854678471785
5141.214818063353,823.5613666574775
5141.223862597622,824.5884494396303
5141.235811340145,825.135363313201
5141.244855874415,824.8496381967882
